"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.11.2022","20.347,09","22.001,58","22.001,58","20.347,09","24,67M","-6,78%"
"09.11.2022","21.827,12","22.450,31","22.506,00","21.827,12","19,12M","-3,32%"
"08.11.2022","22.576,15","22.668,95","22.668,95","22.167,02","12,73M","1,07%"
"07.11.2022","22.337,35","23.463,57","23.463,57","22.337,35","13,58M","-4,37%"
"04.11.2022","23.357,81","22.769,84","23.839,09","22.769,84","16,21M","2,23%"
"03.11.2022","22.847,83","22.707,00","22.860,57","22.298,10","15,63M","0,52%"
"01.11.2022","22.730,19","22.075,42","22.966,02","22.075,42","17,97M","1,45%"
"31.10.2022","22.406,39","21.428,49","22.406,39","21.328,92","21,64M","3,62%"
"28.10.2022","21.623,59","21.630,69","21.630,69","21.204,52","14,39M","0,82%"
"27.10.2022","21.447,62","21.179,83","21.932,52","21.179,83","15,53M","2,34%"
"26.10.2022","20.957,86","21.592,84","21.592,84","20.957,86","16,09M","-2,81%"
"25.10.2022","21.563,39","21.998,50","21.998,50","21.563,39","14,73M","-1,44%"
"24.10.2022","21.878,66","23.100,51","23.100,51","21.878,66","13,28M","-6,07%"
"21.10.2022","23.292,81","22.459,30","23.292,81","22.459,30","16,24M","3,68%"
"20.10.2022","22.466,16","22.021,17","22.496,95","22.021,17","16,92M","1,84%"
"19.10.2022","22.059,24","21.966,63","22.055,82","21.829,54","12,73M","-0,11%"
"18.10.2022","22.082,89","21.558,17","22.082,89","21.558,17","14,74M","2,65%"
"17.10.2022","21.511,95","21.225,11","21.706,04","21.225,11","11,63M","2,28%"
"14.10.2022","21.032,43","21.561,69","21.718,36","21.032,43","13,10M","-3,08%"
"13.10.2022","21.701,59","22.054,74","22.054,74","21.257,87","14,58M","0,20%"
"11.10.2022","21.658,34","22.321,69","22.321,69","21.658,34","13,14M","-3,03%"
"10.10.2022","22.335,58","22.288,07","22.497,47","22.193,34","11,43M","-0,15%"
"07.10.2022","22.369,10","22.606,91","22.606,91","22.201,35","13,62M","-0,62%"
"06.10.2022","22.508,94","22.478,75","22.764,95","22.478,75","14,52M","-0,21%"
"05.10.2022","22.557,13","22.610,81","22.610,81","22.230,68","13,56M","0,39%"
"04.10.2022","22.469,26","22.337,77","23.009,46","22.469,26","16,08M","0,03%"
"03.10.2022","22.462,28","20.356,56","22.335,27","20.356,56","20,98M","10,42%"
"30.09.2022","20.343,27","19.971,12","20.440,65","19.851,11","16,54M","2,02%"
"29.09.2022","19.941,35","20.237,46","20.237,46","19.707,57","14,59M","-1,18%"
"28.09.2022","20.178,84","20.164,95","20.275,40","20.078,89","13,54M","0,21%"
"27.09.2022","20.137,00","20.380,61","20.590,08","20.137,00","14,52M","-0,54%"
"26.09.2022","20.245,32","21.380,01","21.380,01","20.245,32","13,13M","-4,74%"
"23.09.2022","21.253,53","22.076,31","22.076,31","21.192,30","13,54M","-4,60%"
"22.09.2022","22.279,39","21.863,61","22.342,27","21.839,56","","3,01%"
"21.09.2022","21.628,73","20.667,71","21.874,27","20.667,71","4,67M","-0,47%"
"20.09.2022","21.731,84","20.667,71","21.769,06","20.667,71","9,06M","0,26%"
"19.09.2022","21.675,92","20.667,71","21.385,37","20.723,01","12,59M","4,31%"
"16.09.2022","20.781,27","21.061,38","21.061,38","20.517,61","14,11M","-0,85%"
"15.09.2022","20.958,72","21.354,22","21.354,22","20.958,72","11,62M","-2,07%"
"14.09.2022","21.401,58","21.393,76","21.539,27","21.271,47","11,63M","0,29%"
"13.09.2022","21.338,74","22.158,02","22.158,02","21.338,74","12,61M","-4,18%"
"12.09.2022","22.269,11","21.753,59","22.306,80","21.753,59","11,71M","2,08%"
"09.09.2022","21.815,01","21.078,50","21.815,01","21.078,50","12,16M","3,49%"
"08.09.2022","21.079,86","21.019,98","21.240,61","20.828,58","13,76M","0,88%"
"06.09.2022","20.895,84","21.711,03","21.711,03","20.895,84","14,30M","-4,04%"
"05.09.2022","21.774,80","21.373,37","21.801,74","21.373,37","9,52M","1,52%"
"02.09.2022","21.449,15","21.232,08","21.642,54","21.232,08","16,69M","1,81%"
"01.09.2022","21.068,11","21.150,13","21.231,38","20.810,64","14,48M","-0,28%"
"31.08.2022","21.127,30","21.819,49","21.819,49","21.127,30","14,79M","-2,00%"
"30.08.2022","21.559,43","22.276,23","22.301,23","21.559,43","11,94M","-3,46%"
"29.08.2022","22.333,08","22.063,36","22.454,34","22.063,36","9,80M","0,67%"
"26.08.2022","22.184,90","22.188,63","22.416,13","22.000,94","11,16M","-0,15%"
"25.08.2022","22.217,56","22.117,74","22.310,51","22.039,24","11,84M","0,60%"
"24.08.2022","22.085,95","22.118,31","22.311,68","22.065,72","13,76M","-0,10%"
"23.08.2022","22.107,17","21.372,75","22.139,62","21.372,75","11,89M","3,32%"
"22.08.2022","21.397,82","21.984,52","21.984,52","21.247,97","11,01M","-0,77%"
"19.08.2022","21.564,75","21.984,52","21.984,52","21.392,77","12,68M","-2,07%"
"18.08.2022","22.019,63","21.960,21","22.094,28","21.887,28","10,64M","0,04%"
"17.08.2022","22.010,58","22.111,63","22.111,63","21.723,59","14,65M","-0,21%"
"16.08.2022","22.057,73","22.198,75","22.198,75","21.952,28","12,99M","-0,53%"
"15.08.2022","22.174,22","22.103,86","22.234,18","21.812,39","15,55M","0,16%"
"12.08.2022","22.137,97","21.832,84","22.137,97","21.506,15","16,62M","4,06%"
"11.08.2022","21.274,06","21.832,84","21.832,84","21.274,06","12,46M","-1,69%"
"10.08.2022","21.640,53","21.155,61","21.857,78","21.155,61","13,38M","2,08%"
"09.08.2022","21.200,41","21.155,61","21.346,26","21.055,48","12,15M","-0,04%"
"08.08.2022","21.209,81","20.413,17","21.172,35","20.778,84","12,67M","2,91%"
"05.08.2022","20.610,53","20.207,48","20.547,95","20.230,03","12,95M","1,47%"
"04.08.2022","20.312,33","19.639,80","20.258,68","19.803,58","15,50M","3,40%"
"03.08.2022","19.644,06","19.811,06","19.659,03","19.459,13","12,38M","0,39%"
"02.08.2022","19.567,74","19.811,06","19.811,49","19.435,81","10,12M","-0,71%"
"01.08.2022","19.707,37","19.886,02","20.022,77","19.721,78","11,61M","-1,17%"
"29.07.2022","19.940,21","19.676,02","20.045,00","19.760,64","12,93M","0,77%"
"28.07.2022","19.787,97","19.114,49","19.693,09","19.378,38","11,13M","2,30%"
"27.07.2022","19.343,62","18.613,68","19.120,94","18.800,70","10,26M","3,74%"
